flow rate(m3/s)	concentration of nanoparticle(vol. fraction))	Kfluid(W/mC)	heat flux(W/m2)	X/D	heat transfer Cofficent	heat transfer Cofficent (prediction with ANN)1	heat transfer Cofficent (prediction with ANN)2										DATA	NN1			
1٫83E-05	0٫015	0٫604	26526	85	4497	4452٫172812	4468٫700543						3081	0٫015	0٫349	26526	35	4022	4021٫597005	1٫606871754	1٫582486999
1٫83E-05	0	0٫604	26526	133	2895	2856٫208291	2856٫73422						2030	0	0٫349	26526	35	1618	1600٫716709	1	1
1٫83E-05	0٫005	0٫604	26526	133	3254	3249٫964306	3249٫663775						2030	0٫005	0٫349	26526	35	1844	1833٫149056	1٫139678616	1٫145205173
1٫83E-05	0٫01	0٫604	26526	133	3713	3733٫4898	3719٫033522						2030	0٫01	0٫349	26526	35	2141	2143٫398543	1٫323238566	1٫339024283
1٫83E-05	0٫015	0٫604	26526	133	4323	4307٫292802	4338٫386889						2030	0٫015	0٫349	26526	35	2554	2568٫195156	1٫578491965	1٫604403291
1٫83E-05	0	0٫604	26526	180	2802	2769٫314339	2782٫197455														
1٫83E-05	0٫005	0٫604	26526	180	3137	3134٫398021	3144٫371764														
1٫83E-05	0٫01	0٫604	26526	180	3563	3590٫498482	3565٫960145														
1٫83E-05	0٫015	0٫604	26526	180	4123	4150٫104985	4109٫862993														
1٫38E-05	0	0٫604	21221	35	2198	2203٫206879	2201٫69471														
1٫38E-05	0٫005	0٫604	21221	35	2453	2462٫495727	2469٫902565														
1٫38E-05	0٫01	0٫604	21221	35	2775	2788٫589929	2774٫250474														
1٫38E-05	0٫015	0٫604	21221	35	3193	3186٫772649	3206٫704614														
7٫19E-05	0	0٫349	26526	35	2503	2541٫314404	2531٫174789														
7٫19E-05	0٫005	0٫349	26526	35	3086	3043٫010131	3045٫071246														
7٫19E-05	0٫01	0٫349	26526	35	3492	3553٫528571	3508٫987485														
7٫19E-05	0٫015	0٫349	26526	35	4022	4021٫597005	4019٫405851														
4٫74E-05	0	0٫349	26526	35	1618	1600٫716709	1576٫846413														
4٫74E-05	0٫005	0٫349	26526	35	1844	1833٫149056	1872٫488547														
4٫74E-05	0٫01	0٫349	26526	35	2141	2143٫398543	2135٫159251														
4٫74E-05	0٫015	0٫349	26526	35	2554	2568٫195156	2509٫135231														
4٫74E-05	0	0٫349	26526	85	1178	1219٫794631	1151٫634276														
4٫74E-05	0٫005	0٫349	26526	85	1359	1349٫082973	1372٫437339														
4٫74E-05	0٫01	0٫349	26526	85	1515	1510٫689292	1526٫066547														
4٫74E-05	0٫015	0٫349	26526	85	1710	1718٫174144	1710٫804673														
4٫74E-05	0	0٫349	26526	133	1033	1040٫364977	976٫7697607														
4٫74E-05	0٫005	0٫349	26526	133	1170	1164٫784452	1166٫90428														
4٫74E-05	0٫01	0٫349	26526	133	1283	1281٫233592	1287٫27609														
4٫74E-05	0٫015	0٫349	26526	133	1421	1401٫430086	1417٫289965														
4٫74E-05	0	0٫349	26526	180	919	927٫3796984	917٫4522532														
4٫74E-05	0٫005	0٫349	26526	180	1067	1050٫489645	1058٫3805														
4٫74E-05	0٫01	0٫349	26526	180	1160	1168٫363489	1161٫608739														
4٫74E-05	0٫015	0٫349	26526	180	1272	1274٫351281	1272٫578613														
